PERMNO,DATE,RET,YEAR
10177,01/04/1999,-0.066667,1999
10177,01/05/1999,0.142857,1999
10177,01/06/1999,0.000000,1999
10177,01/07/1999,-0.046875,1999
10177,01/08/1999,-0.081967,1999
10177,01/11/1999,0.142857,1999
10177,01/12/1999,-0.125000,1999
10177,01/13/1999,0.000000,1999
10177,01/14/1999,0.000000,1999
10177,01/15/1999,0.071429,1999
10177,01/19/1999,0.000000,1999
10177,01/20/1999,0.066667,1999
10177,01/21/1999,0.000000,1999
10177,01/22/1999,-0.078125,1999
10177,01/25/1999,0.033898,1999
10177,01/26/1999,-0.081967,1999
10177,01/27/1999,0.035714,1999
10177,01/28/1999,-0.034483,1999
10177,01/29/1999,0.000000,1999
10177,02/01/1999,-0.071429,1999
10177,02/02/1999,0.153846,1999
10177,02/03/1999,0.000000,1999
10177,02/04/1999,-0.200000,1999
10177,02/05/1999,0.000000,1999
10177,02/08/1999,0.166667,1999
10177,02/09/1999,0.000000,1999
10177,02/10/1999,0.000000,1999
10177,02/11/1999,0.071429,1999
10177,02/12/1999,0.000000,1999
10177,02/16/1999,0.000000,1999
10177,02/17/1999,0.000000,1999
10177,02/18/1999,0.033333,1999
10177,02/19/1999,0.000000,1999
10177,02/22/1999,0.000000,1999
10177,02/23/1999,-0.032258,1999
10177,02/24/1999,0.000000,1999
10177,02/25/1999,0.000000,1999
10177,02/26/1999,0.000000,1999
10177,03/01/1999,0.000000,1999
10177,03/02/1999,-0.133333,1999
10177,03/03/1999,0.000000,1999
10177,03/04/1999,0.000000,1999
10177,03/05/1999,0.000000,1999
10177,03/08/1999,-0.038462,1999
10177,03/09/1999,0.040000,1999
10177,03/10/1999,-0.038462,1999
10177,03/11/1999,0.000000,1999
10177,03/12/1999,0.040000,1999
10177,03/15/1999,0.076923,1999
10177,03/16/1999,0.000000,1999
10177,03/17/1999,0.000000,1999
10177,03/18/1999,0.000000,1999
10177,03/19/1999,0.142857,1999
10177,03/22/1999,0.250000,1999
10177,03/23/1999,-0.200000,1999
10177,03/24/1999,0.250000,1999
10177,03/25/1999,-0.050000,1999
10177,03/26/1999,-0.052632,1999
10177,03/29/1999,0.055556,1999
10177,03/30/1999,-0.026316,1999
10177,03/31/1999,-0.027027,1999
10177,04/01/1999,-0.055556,1999
10177,04/05/1999,-0.058824,1999
10177,04/06/1999,0.000000,1999
10177,04/07/1999,-0.031250,1999
10177,04/08/1999,0.048387,1999
10177,04/09/1999,0.353846,1999
10177,04/12/1999,0.000000,1999
10177,04/13/1999,-0.113636,1999
10177,04/14/1999,0.076923,1999
10177,04/15/1999,-0.095238,1999
10177,04/16/1999,0.000000,1999
10177,04/19/1999,0.157895,1999
10177,04/20/1999,-0.090909,1999
10177,04/21/1999,-0.075000,1999
10177,04/22/1999,0.027027,1999
10177,04/23/1999,-0.131579,1999
10177,04/26/1999,0.030303,1999
10177,04/27/1999,0.000000,1999
10177,04/28/1999,-0.088235,1999
10177,04/29/1999,0.000000,1999
10177,04/30/1999,0.032258,1999
10177,05/03/1999,0.062500,1999
10177,05/04/1999,0.000000,1999
10177,05/05/1999,0.058824,1999
10177,05/06/1999,-0.055556,1999
10177,05/07/1999,0.088235,1999
10177,05/10/1999,-0.135135,1999
10177,05/11/1999,0.000000,1999
10177,05/12/1999,0.000000,1999
10177,05/13/1999,0.000000,1999
10177,05/14/1999,0.000000,1999
10177,05/17/1999,0.125000,1999
10177,05/18/1999,0.000000,1999
10177,05/19/1999,-0.027778,1999
10177,05/20/1999,0.028571,1999
10177,05/21/1999,0.722222,1999
10177,05/24/1999,-0.161290,1999
10177,05/25/1999,-0.076923,1999
10177,05/26/1999,-0.062500,1999
10177,05/27/1999,-0.022222,1999
10177,05/28/1999,0.045455,1999
10177,06/01/1999,0.000000,1999
10177,06/02/1999,0.021739,1999
10177,06/03/1999,-0.063830,1999
10177,06/04/1999,-0.045455,1999
10177,06/07/1999,0.047619,1999
10177,06/08/1999,0.000000,1999
10177,06/09/1999,0.090909,1999
10177,06/10/1999,-0.083333,1999
10177,06/11/1999,0.136364,1999
10177,06/14/1999,0.040000,1999
10177,06/15/1999,0.153846,1999
10177,06/16/1999,-0.033333,1999
10177,06/17/1999,0.103448,1999
10177,06/18/1999,0.000000,1999
10177,06/21/1999,0.000000,1999
10177,06/22/1999,-0.093750,1999
10177,06/23/1999,0.000000,1999
10177,06/24/1999,0.000000,1999
10177,06/25/1999,0.000000,1999
10177,06/28/1999,-0.068966,1999
10177,06/29/1999,-0.037037,1999
10177,06/30/1999,-0.038462,1999
10177,07/01/1999,0.040000,1999
10177,07/02/1999,0.076923,1999
10177,07/06/1999,-0.035714,1999
10177,07/07/1999,0.000000,1999
10177,07/08/1999,0.018519,1999
10177,07/09/1999,0.090909,1999
10177,07/12/1999,0.033333,1999
10177,07/13/1999,0.016129,1999
10177,07/14/1999,-0.047619,1999
10177,07/15/1999,0.000000,1999
10177,07/16/1999,0.000000,1999
10177,07/19/1999,0.000000,1999
10177,07/20/1999,-0.066667,1999
10177,07/21/1999,0.071429,1999
10177,07/22/1999,-0.050000,1999
10177,07/23/1999,-0.017544,1999
10177,07/26/1999,0.071429,1999
10177,07/27/1999,0.000000,1999
10177,07/28/1999,0.000000,1999
10177,07/29/1999,0.000000,1999
10177,07/30/1999,0.000000,1999
10177,08/02/1999,-0.133333,1999
10177,08/03/1999,0.038462,1999
10177,08/04/1999,-0.055556,1999
10177,08/05/1999,-0.058824,1999
10177,08/06/1999,-0.020833,1999
10177,08/09/1999,-0.021277,1999
10177,08/10/1999,-0.086957,1999
10177,08/11/1999,0.000000,1999
10177,08/12/1999,0.047619,1999
10177,08/13/1999,0.045455,1999
10177,08/16/1999,0.021739,1999
10177,08/17/1999,0.042553,1999
10177,08/18/1999,-0.020408,1999
10177,08/19/1999,0.000000,1999
10177,08/20/1999,0.041667,1999
10177,08/23/1999,0.000000,1999
10177,08/24/1999,0.000000,1999
10177,08/25/1999,-0.040000,1999
10177,08/26/1999,0.000000,1999
10177,08/27/1999,0.041667,1999
10177,08/30/1999,0.040000,1999
10177,08/31/1999,-0.038462,1999
10177,09/01/1999,-0.040000,1999
10177,09/02/1999,0.020833,1999
10177,09/03/1999,-0.020408,1999
10177,09/07/1999,-0.104167,1999
10177,09/08/1999,-0.023256,1999
10177,09/09/1999,-0.023810,1999
10177,09/10/1999,0.170732,1999
10177,09/13/1999,0.000000,1999
